Location,Crime_Type,Time,DateOccurred,Investigation Status,CrimeCode,Comments
DARYA GANJ,murder,08:04,2020-01-06,Open,C6070,-
BINDAPUR,murder,17:07,2019-07-22,Closed,C2515,-
ROOP NAGAR,sexual harassement,08:11,2020-05-11,Under Investigation,C2603,Missing information
HAUZ KHAS,sexual harassement,08:02,2019-08-18,Under Investigation,C6092,-
JYOTI NAGAR,sexual harassement,11:58,2020-01-06,Under Investigation,C7818,Missing information
MODEL TOWN,murder,03:39,2019-10-06,Open,C8726,-
DELHI CANTT,murder,01:22,2019-08-10,Open,C6402,-
CHITRANJAN PARK,theft,15:40,2020-02-22,Open,C4533,-
BEGUM PUR,robbery,18:18,2019-08-09,Unknown,C4174,Missing information
MAYURVIHAR,sexual harassement,19:14,2019-10-07,Open,C6572,-
BHALSWA DAIRY,robbery,14:08,2019-10-17,Open,C4807,-
BABA HARI DAS NAGAR,rape,07:18,2019-06-23,Under Investigation,C8710,-
MAURICE NAGAR,gangrape,11:52,2020-03-06,Closed,C9093,-
KRISHNA NAGAR,theft,17:04,2020-05-12,Under Investigation,C9174,Missing information
KRISHNA NAGAR,sexual harassement,21:24,2020-01-23,Open,C1461,-
MALVIYA NAGAR,assualt murders,07:24,2019-10-01,Closed,C1212,-
KN KATJU MARG,murder,05:07,2019-07-16,Open,C5429,-
D.B.G ROAD,sexual harassement,19:52,2020-03-26,Under Investigation,C3872,-
DWARKA SOUTH,robbery,10:57,2019-11-12,Closed,C9280,-
BEGUM PUR,rape,13:59,2020-03-15,Closed,C7402,-
MANDAWALI,assualt murders,21:04,2019-12-29,Under Investigation,C1726,-
MAYA PURI,rape,07:05,2020-05-26,Closed,C5715,-
SARITA VIHAR,rape,02:34,2020-02-27,Closed,C4876,-
PALAM VILLAGE,rape,17:55,2019-12-01,Closed,C9802,-
NAJAFGARH,theft,21:54,2019-10-29,Under Investigation,C1149,-
TILAK NAGAR,assualt murders,20:15,2019-08-05,Under Investigation,C1338,-
KRISHNA NAGAR,robbery,03:57,2020-04-22,Under Investigation,C9658,-
MEHRAULI,robbery,19:54,2019-07-19,Under Investigation,C8726,Missing information
MADHUVIHAR,murder,07:08,2019-10-01,Closed,C3625,-
NEB SARAI,sexual harassement,00:47,2019-07-12,Open,C4767,-
VASANT KUNJ SOUTH,robbery,04:46,2019-09-01,Unknown,C4443,Missing information
FARASH BAZAR,gangrape,06:42,2019-12-25,Under Investigation,C6565,-
PATEL NAGAR,assualt murders,10:12,2019-10-28,Closed,C7325,-
PREETVIHAR,sexual harassement,09:03,2019-10-22,Closed,C7673,-
KAROL BAGH,theft,19:35,2020-05-17,Open,C4431,-
JAGATPURI,assualt murders,20:36,2020-06-09,Open,C1300,-
NANDNAGARI,murder,10:12,2020-02-05,Under Investigation,C8407,-
JYOTI NAGAR,rape,16:08,2019-12-30,Open,C5301,Missing information
RAJOURI GARDEN,theft,08:18,2019-12-22,Open,C8907,-
SAGARPUR,sexual harassement,11:46,2019-08-11,Under Investigation,C8205,-
MANDIR MARG,assualt murders,03:40,2020-01-11,Closed,Unknown,Missing information
CHHAWLA,assualt murders,03:15,2020-02-08,Under Investigation,C1118,-
GOVIND PURI,robbery,10:27,2019-10-21,Closed,C2989,-
JAHANGIR PURI,theft,02:44,2020-05-03,Unknown,C8973,Missing information
BURARI,robbery,12:15,2020-06-15,Open,C4898,-
BAWANA,assualt murders,22:42,2019-12-31,Under Investigation,C4907,-
G.T.B. ENCLAVE,theft,02:27,2020-02-04,Closed,C8540,-
NARELA,robbery,12:48,2019-06-30,Open,C5255,-
OKHLA,murder,21:21,2019-10-27,Closed,C4345,-
SHAKARPUR,gangrape,04:54,2019-09-12,Unknown,C5037,Missing information
ROHINI NORTH,theft,07:05,2020-03-25,Under Investigation,C4716,-
SONIA VIHAR,robbery,08:22,2019-08-31,Open,C7634,-
CIVIL LINES,murder,14:08,2020-04-17,Unknown,C6709,Missing information
SHAKARPUR,theft,00:59,2019-11-12,Under Investigation,C4678,-
BHAJANPURI,sexual harassement,21:22,2020-04-11,Under Investigation,C8275,Missing information
ROHINI SOUTH,rape,17:06,2020-01-11,Unknown,C7391,Missing information
SUBZIMANDI,sexual harassement,23:43,2019-08-28,Under Investigation,C9216,Missing information
NIHAL VIHAR,gangrape,08:23,2019-10-12,Under Investigation,C8391,-
VIJAY VIHAR,robbery,08:20,2019-12-03,Open,C9027,-
MAURICE NAGAR,gangrape,07:40,2019-07-02,Open,C8185,Missing information
VIVEKVIHAR,murder,22:51,2019-08-23,Closed,C4384,-
BARAKHAMBA ROAD,theft,13:06,2020-02-04,Under Investigation,C1669,-
RANJIT NAGAR,sexual harassement,22:50,2019-07-31,Unknown,C5454,Missing information
ANAND PARBAT,murder,17:22,2019-12-15,Under Investigation,C9060,-
SAGARPUR,sexual harassement,15:23,2019-06-24,Open,C2685,-
NEW ASHOK NAGAR,theft,19:47,2019-06-27,Open,C5339,-
SUBHASH PLACE,murder,02:32,2019-11-22,Open,C5556,-
H. N. DIN,murder,21:52,2019-08-15,Open,C1795,-
SUBHASH PLACE,sexual harassement,12:00,2019-06-25,Closed,C5995,-
MAYA PURI,sexual harassement,22:21,2020-05-27,Closed,C7975,-
PANDAV NAGAR,murder,07:41,2019-08-27,Under Investigation,C8222,-
SANGAM VIHAR,assualt murders,10:08,2019-09-06,Under Investigation,C8417,-
GEETA COLONY,rape,18:07,2019-09-20,Open,C5041,-
DEFENCE COLONY,sexual harassement,04:57,2019-11-03,Open,C9005,-
NABI KARIM,assualt murders,04:13,2019-07-10,Open,C2666,-
G.T.B. ENCLAVE,robbery,14:45,2020-03-03,Closed,C6751,-
RANJIT NAGAR,murder,18:06,2019-10-31,Closed,C6299,-
DEFENCE COLONY,assualt murders,06:25,2019-10-25,Under Investigation,C2736,-
LAHORI GATE,assualt murders,01:54,2019-11-21,Open,C8252,-
RAJOURI GARDEN,theft,14:47,2020-05-21,Closed,C5662,-
VIKAS PURI,sexual harassement,20:13,2019-08-30,Closed,C1486,-
JYOTI NAGAR,theft,14:49,2019-08-18,Closed,Unknown,Missing information
PUNJABI BAGH,theft,03:46,2019-08-23,Open,C9708,-
NARAINA,sexual harassement,19:24,2019-08-15,Under Investigation,C3892,-
SAGARPUR,assualt murders,00:18,2020-02-05,Under Investigation,C3442,-
AMAN VIHAR,robbery,06:33,2019-08-28,Closed,C5566,-
DEFENCE COLONY,sexual harassement,10:10,2019-12-13,Closed,C2993,-
VIJAY VIHAR,sexual harassement,04:25,2019-07-16,Open,C4274,-
MANSAROVAR PARK,robbery,11:30,2020-03-04,Open,C6544,-
GHAZIPUR,gangrape,18:02,2019-12-07,Open,C4343,-
UTTAM NAGAR,gangrape,21:19,2019-09-30,Open,C6731,-
TILAK MARG,assualt murders,04:22,2019-08-18,Open,C9282,-
KAPASHERA,robbery,06:33,2019-09-20,Closed,C4719,-
MANSAROVAR PARK,assualt murders,15:30,2019-10-11,Closed,C9915,-
BABA HARI DAS NAGAR,theft,04:59,2020-05-06,Under Investigation,C3536,-
GULABIBAGH,sexual harassement,20:04,2020-03-09,Open,C2088,-
SARAI ROHILLA,gangrape,07:32,2019-11-23,Under Investigation,C5238,-
UTTAM NAGAR,assualt murders,10:12,2020-05-04,Open,Unknown,Missing information
CHITRANJAN PARK,sexual harassement,01:39,2019-10-15,Under Investigation,C3040,-
KALKAJI,gangrape,20:20,2020-01-26,Unknown,Unknown,Missing information
SAROJINI NAGAR,sexual harassement,04:39,2019-11-27,Open,C9624,-
SUBHASH PLACE,rape,21:50,2019-12-22,Closed,C3407,-
ANAND PARBAT,rape,11:33,2020-01-16,Open,C8451,-
HARI NAGAR,assualt murders,00:41,2020-04-20,Open,C3586,-
JAMIA NAGAR,sexual harassement,10:26,2019-12-29,Open,C9544,Missing information
SULTAN PURI,robbery,23:05,2020-03-07,Under Investigation,Unknown,Missing information
JANAK PURI,rape,23:14,2019-12-08,Unknown,C7361,Missing information
NARAINA,assualt murders,15:26,2020-02-25,Closed,C5504,-
SULTAN PURI,robbery,22:28,2020-05-31,Under Investigation,Unknown,Missing information
LAJPAT NAGAR,assualt murders,10:37,2020-06-12,Open,C3450,-
LODHI COLONY,rape,21:57,2019-12-20,Closed,C8247,-
KHAJURIKHAS,gangrape,17:49,2019-10-22,Open,C6827,-
SARITA VIHAR,murder,02:31,2019-11-12,Open,C5440,-
MALVIYA NAGAR,theft,10:53,2019-11-15,Open,Unknown,Missing information
CHHAWLA,gangrape,16:36,2020-06-10,Under Investigation,C1563,-
SHAHDARA,murder,15:27,2020-05-08,Closed,C9005,-
ADRASH NAGAR,murder,15:20,2020-04-28,Under Investigation,C9093,-
MANDAWALI,robbery,22:56,2019-07-11,Closed,C1310,-
KHYALA,assualt murders,10:34,2020-02-12,Open,Unknown,Missing information
SAKET,gangrape,11:55,2019-06-27,Open,C5355,-
BAWANA,gangrape,19:09,2019-08-11,Under Investigation,C4204,-
NEW FRIENDS COLONY,gangrape,10:08,2020-02-04,Closed,C3248,-
SANGAM VIHAR,sexual harassement,17:37,2019-07-19,Under Investigation,C3142,-
SEEMAPURI,sexual harassement,02:20,2019-07-19,Closed,C7530,-
MAHENDRA PARK,gangrape,05:43,2019-09-25,Under Investigation,C7699,-
KAROL BAGH,rape,08:37,2020-01-29,Closed,C1142,-
SEEMAPURI,rape,15:28,2020-06-07,Open,C3044,-
HAUZQAZI,rape,07:23,2020-04-01,Closed,C6546,Missing information
JYOTI NAGAR,gangrape,09:45,2020-04-04,Closed,C3586,-
MAURYA ENCLAVE,theft,03:12,2019-11-15,Open,C9509,-
JYOTI NAGAR,theft,22:26,2019-10-10,Under Investigation,C8580,-
G.T.B. ENCLAVE,robbery,13:43,2019-08-01,Under Investigation,C6178,-
KANJHAWALA,sexual harassement,08:53,2019-07-22,Open,C9929,Missing information
KALKAJI,murder,06:03,2020-05-06,Open,C6182,Missing information
FATEHPUR BERI,sexual harassement,18:06,2019-11-01,Unknown,C6868,Missing information
TILAK MARG,assualt murders,00:20,2019-08-04,Closed,C5452,-
AMAN VIHAR,rape,07:29,2019-08-09,Unknown,C8554,Missing information
TILAK NAGAR,gangrape,22:15,2020-03-21,Unknown,C7185,Missing information
BHALSWA DAIRY,rape,01:49,2019-12-18,Open,C6806,-
KALKAJI,sexual harassement,20:16,2020-05-05,Closed,C2570,-
ALIPUR,assualt murders,09:16,2020-06-12,Open,C1421,-
JYOTI NAGAR,rape,16:06,2019-08-06,Closed,C1009,-
BABA HARI DAS NAGAR,sexual harassement,01:52,2020-03-22,Under Investigation,C1045,-
SHAHBAD DAIRY,assualt murders,03:13,2020-02-11,Closed,C6825,-
ANANDVIHAR,robbery,22:32,2020-03-14,Under Investigation,C3563,-
MANDIR MARG,rape,18:51,2019-12-06,Open,C1644,-
RAJINDER NAGAR,robbery,10:46,2020-01-08,Closed,C5260,-
MAURYA ENCLAVE,assualt murders,08:29,2020-02-17,Open,Unknown,Missing information
MUKHERJI NAGAR,robbery,15:58,2019-09-09,Closed,C8163,-
BINDAPUR,murder,23:59,2019-11-07,Unknown,C5246,Missing information
GHAZIPUR,murder,08:26,2020-05-22,Under Investigation,C3057,-
NAJAFGARH,theft,17:33,2020-06-18,Under Investigation,C9715,-
CHITRANJAN PARK,robbery,18:13,2019-12-06,Unknown,C4624,Missing information
HAUZ KHAS,rape,14:59,2020-01-31,Under Investigation,Unknown,Missing information
TILAK MARG,rape,07:20,2020-02-17,Under Investigation,C2123,-
CHANAKYAPURI,rape,21:25,2020-03-26,Closed,C6782,-
SADAR BAZAR,murder,12:03,2019-08-15,Under Investigation,C4575,Missing information
MANSAROVAR PARK,sexual harassement,21:19,2020-06-16,Under Investigation,Unknown,Missing information
GREATER KAILASH,murder,17:26,2020-06-06,Closed,C1630,-
ANANDVIHAR,gangrape,16:32,2019-09-16,Closed,Unknown,Missing information
GANDHI NAGAR,murder,19:18,2020-06-03,Under Investigation,C4988,-
PALAM VILLAGE,theft,11:11,2019-08-19,Closed,C8405,-
SUBZIMANDI,murder,13:54,2019-11-21,Under Investigation,Unknown,Missing information
MEHRAULI,murder,10:16,2019-11-10,Open,C2088,-
ROHINI NORTH,assualt murders,06:36,2019-07-31,Under Investigation,C3258,-
PRASHANT VIHAR,murder,20:07,2020-02-22,Closed,C8929,-
NEW USMANPUR,theft,01:20,2019-12-03,Open,C5086,-
H. N. DIN,robbery,21:23,2019-09-07,Under Investigation,C6587,-
PREETVIHAR,assualt murders,23:03,2019-12-20,Under Investigation,C9461,-
MANDAWALI,sexual harassement,02:20,2019-08-22,Under Investigation,C1974,-
MOTI NAGAR,sexual harassement,10:01,2020-04-27,Under Investigation,C1720,-
JYOTI NAGAR,robbery,06:42,2019-07-31,Unknown,C6923,Missing information
KALKAJI,robbery,05:50,2019-10-27,Closed,C2276,-
MAURYA ENCLAVE,sexual harassement,00:36,2020-01-03,Closed,C3519,-
KAROL BAGH,theft,22:44,2019-11-13,Unknown,Unknown,Missing information
JAFFARPUR KALAN,theft,14:34,2020-05-03,Under Investigation,C7355,-
SHAHBAD DAIRY,theft,12:23,2019-08-05,Under Investigation,C9031,-
MAURICE NAGAR,robbery,15:25,2019-10-29,Closed,C5537,-
CIVIL LINES,murder,01:08,2019-10-22,Under Investigation,C6300,-
TIMARPUR,rape,16:03,2019-10-20,Under Investigation,C4844,-
DWARKA SOUTH,theft,12:06,2019-07-07,Under Investigation,C1288,-
MANDAWALI,theft,17:34,2020-01-20,Open,C6555,-
MAYURVIHAR,rape,09:49,2019-11-19,Unknown,Unknown,Missing information
KESHAV PURAM,rape,21:34,2019-12-16,Open,C6961,-
HAUZ KHAS,assualt murders,13:51,2019-10-31,Closed,C6373,-
KIRTI NAGAR,theft,12:36,2019-07-07,Unknown,C2630,Missing information
G.T.B. ENCLAVE,theft,02:06,2020-05-19,Under Investigation,C9473,-
FARASH BAZAR,robbery,04:58,2020-03-06,Open,C4168,-
PUNJABI BAGH,gangrape,06:03,2020-02-07,Closed,C5951,-
SUBHASH PLACE,murder,10:58,2020-03-27,Closed,C5483,-
SHAHDARA,sexual harassement,17:55,2019-10-15,Closed,C3971,-
PARSHAD NAGAR,rape,00:46,2019-07-17,Open,C4902,-
GANDHI NAGAR,assualt murders,15:09,2020-05-16,Under Investigation,C4377,-
PARLIAMENT STREET,murder,13:43,2019-06-22,Unknown,C5919,Missing information
PATEL NAGAR,rape,04:41,2019-09-21,Open,C9682,-
GEETA COLONY,robbery,23:44,2019-09-05,Under Investigation,Unknown,Missing information
JYOTI NAGAR,assualt murders,21:03,2019-10-30,Under Investigation,C3877,-
SWARUP NAGAR,gangrape,01:01,2020-02-10,Unknown,C8016,Missing information
KALKAJI,rape,18:50,2019-11-17,Closed,C9677,-
PREETVIHAR,theft,13:59,2020-05-23,Closed,Unknown,Missing information
JAMA MASJID,assualt murders,09:50,2019-12-02,Open,C1754,-
BINDAPUR,assualt murders,09:33,2019-12-30,Under Investigation,C5917,-
MAYURVIHAR,sexual harassement,10:03,2020-05-16,Under Investigation,C2638,-
KOTALA MUBARAK PUR,sexual harassement,05:04,2019-10-09,Open,C7328,Missing information
SHAHDARA,assualt murders,12:21,2020-03-12,Closed,C3398,-
BADAR PUR,robbery,11:01,2019-06-30,Open,C4658,-
NANGLOI,murder,14:53,2020-05-31,Under Investigation,C3666,-
KAPASHERA,rape,09:29,2019-07-26,Open,C2162,-
KAMLA MARKET,assualt murders,15:52,2019-10-08,Unknown,Unknown,Missing information
SHAHBAD DAIRY,gangrape,23:37,2019-08-08,Open,C4796,-
BHAJANPURI,gangrape,04:07,2019-12-29,Under Investigation,C7173,-
SARAI ROHILLA,rape,05:01,2019-10-18,Unknown,Unknown,Missing information
MUNDKA,assualt murders,01:28,2020-06-21,Closed,C5298,Missing information
VASANT KUNJ SOUTH,theft,18:05,2019-07-16,Unknown,C8187,Missing information
ANAND PARBAT,robbery,23:59,2019-09-12,Under Investigation,C1026,-
INDERPURI,rape,16:55,2019-07-26,Unknown,C4277,Missing information
CHANDNI MAHAL,theft,04:28,2019-07-31,Under Investigation,C1934,-
CHHAWLA,murder,11:42,2019-10-24,Closed,C2866,-
ROHINI SOUTH,assualt murders,17:18,2020-03-24,Open,C8216,-
DABRI,murder,16:41,2020-04-24,Open,C8951,-
GULABIBAGH,gangrape,21:50,2019-10-29,Open,C5706,-
MAYURVIHAR,sexual harassement,11:04,2019-09-16,Closed,C4091,-
BABA HARI DAS NAGAR,rape,22:46,2019-11-28,Closed,C6964,-
JAGATPURI,sexual harassement,18:57,2019-10-29,Open,C3670,-
NEW USMANPUR,murder,02:12,2020-05-10,Closed,Unknown,Missing information
SADAR BAZAR,theft,02:52,2020-04-07,Closed,C6073,-
NEW FRIENDS COLONY,murder,18:28,2019-07-04,Open,C5588,-
VASANT VIHAR,sexual harassement,11:18,2019-11-10,Under Investigation,C9727,-
WELCOME,sexual harassement,13:54,2019-09-24,Closed,C3985,-
ANAND PARBAT,rape,18:28,2019-10-06,Open,C6572,-
CHITRANJAN PARK,murder,23:23,2020-05-01,Open,C2136,-
SARITA VIHAR,theft,18:58,2019-10-04,Under Investigation,Unknown,Missing information
ADRASH NAGAR,rape,01:21,2020-03-20,Open,C1727,-
KESHAV PURAM,murder,18:21,2020-02-14,Under Investigation,C1403,-
TILAK MARG,sexual harassement,23:32,2019-11-15,Under Investigation,C8782,-
KN KATJU MARG,sexual harassement,00:32,2019-07-05,Under Investigation,C6383,-
MAURYA ENCLAVE,assualt murders,13:05,2019-12-12,Open,C1030,-
UTTAM NAGAR,rape,03:01,2019-08-10,Under Investigation,C9235,-
SOUTH CAMPUS,robbery,03:55,2020-05-11,Closed,C6347,-
NARAINA,theft,18:48,2019-07-25,Open,C5341,-
WELCOME,sexual harassement,19:14,2019-07-07,Closed,C7964,-
SUBHASH PLACE,robbery,19:46,2019-10-09,Closed,C7768,-
CIVIL LINES,sexual harassement,02:58,2019-07-29,Closed,C9373,-
D.B.G ROAD,assualt murders,13:34,2019-09-20,Closed,C4977,-
PASCHIM VIHAR,assualt murders,01:36,2019-08-20,Open,C1526,-
I.P. ESTATE,theft,04:08,2020-02-02,Open,C1177,Missing information
D.B.G ROAD,theft,09:10,2019-07-08,Open,Unknown,Missing information
GOVIND PURI,robbery,06:03,2020-05-23,Closed,C2351,-
RANHOLA,theft,07:23,2020-04-18,Open,C5749,-
GOKULPURI,theft,08:06,2020-05-02,Unknown,C3089,Missing information
PALAM VILLAGE,murder,01:26,2020-01-08,Open,C5723,-
NANDNAGARI,gangrape,12:35,2020-02-07,Closed,C7893,-
SONIA VIHAR,gangrape,16:58,2019-11-10,Open,C8451,-
BINDAPUR,murder,11:08,2019-07-11,Unknown,C1872,Missing information
ROHINI SOUTH,robbery,15:42,2019-09-20,Closed,C9304,-
SADAR BAZAR,gangrape,14:01,2020-03-31,Under Investigation,C6304,-
ZAFRABAD,murder,16:57,2020-06-04,Unknown,Unknown,Missing information
MANGOLPURI,robbery,09:15,2020-05-10,Open,C1320,-
NEB SARAI,robbery,08:25,2020-06-17,Open,C6301,-
SARAI ROHILLA,sexual harassement,01:17,2020-02-22,Open,C6625,-
KALYANPURI,robbery,00:19,2020-03-26,Open,C5342,-
PRASHANT VIHAR,theft,21:32,2020-04-06,Open,C7142,-
ZAFRABAD,theft,15:39,2020-04-24,Open,C1723,-
H. N. DIN,theft,02:59,2019-09-12,Closed,C3613,-
D.B.G ROAD,robbery,02:19,2019-12-25,Closed,C6154,-
PANDAV NAGAR,rape,06:47,2020-02-05,Under Investigation,Unknown,Missing information
DEFENCE COLONY,robbery,02:25,2020-05-26,Under Investigation,Unknown,Missing information
MANSAROVAR PARK,murder,15:59,2020-02-04,Closed,C5082,-
SHAHBAD DAIRY,sexual harassement,11:20,2019-08-01,Under Investigation,C2617,-
NARELA,murder,01:09,2020-03-19,Open,C9870,-
NANDNAGARI,rape,09:46,2019-07-26,Unknown,C8310,Missing information
TILAK MARG,gangrape,19:38,2019-12-14,Under Investigation,C4478,-
CONNAUGHT PLACE,murder,14:12,2019-06-25,Open,C7841,-
MAYURVIHAR,robbery,11:44,2019-09-30,Under Investigation,C9194,-
RAJINDER NAGAR,murder,21:06,2020-03-01,Closed,C7515,-
KASHMERE GATE,robbery,11:56,2020-02-14,Open,C8416,-
MOTI NAGAR,murder,03:34,2019-07-07,Under Investigation,C9905,-
HAUZ KHAS,murder,12:58,2020-01-23,Open,C2816,-
SEELAMPUR,sexual harassement,22:47,2020-04-29,Under Investigation,C6839,-
GREATER KAILASH,robbery,14:50,2020-01-09,Closed,C1063,-
KN KATJU MARG,gangrape,21:24,2020-03-17,Open,C3221,-
VIKAS PURI,robbery,07:52,2020-06-14,Closed,C1883,-
ALIPUR,robbery,19:07,2019-11-10,Closed,C5797,-
ALIPUR,assualt murders,04:13,2019-07-31,Closed,C9862,Missing information
TUGLAK ROAD,assualt murders,19:58,2019-12-09,Closed,C6811,-
SEEMAPURI,gangrape,01:24,2019-11-03,Open,C5709,-
AMAN VIHAR,assualt murders,13:34,2019-08-09,Closed,C2658,-
MODEL TOWN,assualt murders,06:50,2019-07-08,Closed,C4648,-
MAYA PURI,rape,10:56,2019-12-01,Open,C6684,-
VIKAS PURI,assualt murders,01:28,2020-04-29,Closed,C2471,-
H. N. DIN,assualt murders,02:31,2019-11-16,Under Investigation,C1879,-
LAJPAT NAGAR,rape,10:09,2019-06-23,Unknown,Unknown,Missing information
AMAR COLONY,murder,18:47,2019-09-08,Unknown,C8722,Missing information
SOUTH CAMPUS,rape,15:32,2019-10-21,Under Investigation,C9945,Missing information
RANJIT NAGAR,rape,04:46,2019-12-10,Closed,C6172,-
TILAK NAGAR,robbery,01:53,2020-06-05,Open,C6524,-
MAYA PURI,robbery,22:32,2020-04-23,Under Investigation,C8727,-
MADHUVIHAR,theft,22:17,2019-11-17,Closed,C8915,-
DABRI,rape,13:14,2020-03-09,Closed,C3238,Missing information
NANGLOI,murder,23:53,2019-07-03,Open,C6358,-
MEHRAULI,sexual harassement,23:46,2019-11-18,Unknown,Unknown,Missing information
WELCOME,sexual harassement,18:48,2019-08-02,Closed,C7188,-
SAFDARJUNG ENCLAVE,sexual harassement,23:10,2019-12-20,Closed,C1701,-
DWARKA SEC-23,sexual harassement,00:58,2019-07-06,Under Investigation,C4836,-
VASANT VIHAR,gangrape,12:50,2019-10-25,Under Investigation,C2160,-
KAMLA MARKET,murder,02:07,2019-07-08,Open,C5775,-
TIMARPUR,gangrape,02:28,2020-01-13,Closed,C4011,-
PANDAV NAGAR,rape,08:43,2019-08-02,Under Investigation,C6046,-
MAHENDRA PARK,theft,18:32,2020-02-26,Open,C8512,-
SHAHBAD DAIRY,murder,10:25,2019-11-16,Open,C5629,-
MANDAWALI,robbery,21:29,2020-02-26,Under Investigation,Unknown,Missing information
PRASHANT VIHAR,rape,02:08,2020-04-08,Open,C4069,-
BINDAPUR,gangrape,14:03,2019-12-18,Open,C8619,-
KALKAJI,robbery,11:25,2019-11-20,Closed,Unknown,Missing information
WELCOME,assualt murders,19:41,2019-12-13,Under Investigation,C8290,-
ANAND PARBAT,theft,06:44,2020-06-09,Open,C6001,-
SANGAM VIHAR,sexual harassement,08:38,2020-03-02,Closed,C4988,-
SUNLIGHT COLONY,robbery,14:11,2019-10-03,Closed,C9225,-
PRASHANT VIHAR,theft,06:51,2020-03-24,Closed,C1410,-
BEGUM PUR,theft,14:15,2020-03-02,Under Investigation,C2056,-
JAHANGIR PURI,theft,07:07,2020-05-10,Under Investigation,C7626,-
HARSH VIHAR,robbery,02:54,2020-04-17,Open,C7843,-
RAJOURI GARDEN,theft,02:48,2020-04-08,Under Investigation,C8560,-
HARSH VIHAR,murder,05:11,2020-03-02,Open,Unknown,Missing information
HARI NAGAR,gangrape,22:01,2020-06-20,Under Investigation,C7720,-
HAUZ KHAS,rape,20:32,2020-02-29,Under Investigation,C7865,-
KALKAJI,robbery,04:16,2020-03-04,Under Investigation,C7078,-
PUNJABI BAGH,robbery,18:16,2019-07-07,Under Investigation,C9498,-
DABRI,assualt murders,05:31,2019-12-09,Open,C7823,-
RAJINDER NAGAR,robbery,21:40,2019-12-02,Under Investigation,C3538,-
PULPRAHLAD PUR,rape,02:24,2019-08-04,Closed,C8661,-
OKHLA,rape,14:30,2019-12-05,Under Investigation,C3340,-
GEETA COLONY,rape,16:23,2019-11-10,Closed,C2997,-
DABRI,theft,10:10,2019-09-22,Open,C3559,-
LAJPAT NAGAR,sexual harassement,23:16,2019-07-26,Closed,C6390,-
VASANT KUNJ SOUTH,murder,15:33,2019-08-25,Under Investigation,C3060,-
MIANWALI NAGAR,assualt murders,15:04,2020-04-23,Closed,C6768,-
VIVEKVIHAR,sexual harassement,16:09,2019-09-13,Under Investigation,C4639,-
KAROL BAGH,murder,23:29,2019-08-19,Unknown,Unknown,Missing information
FATEHPUR BERI,robbery,02:57,2020-02-25,Under Investigation,C5402,-
ZAFRABAD,rape,19:46,2019-10-16,Under Investigation,C8389,-
NANGLOI,assualt murders,02:27,2019-12-21,Closed,C7350,-
SADAR BAZAR,robbery,08:52,2019-07-23,Closed,Unknown,Missing information
MADHUVIHAR,murder,04:52,2019-09-28,Closed,C8059,-
GULABIBAGH,assualt murders,12:30,2019-12-03,Open,C5355,-
NARELA,theft,01:47,2020-04-14,Closed,C1917,-
DABRI,sexual harassement,08:44,2019-08-19,Closed,C6369,-
UTTAM NAGAR,sexual harassement,16:41,2020-01-15,Unknown,Unknown,Missing information
PARSHAD NAGAR,assualt murders,21:46,2020-04-02,Open,C1709,-
RANJIT NAGAR,sexual harassement,10:13,2019-08-06,Closed,C2268,-
SAFDARJUNG ENCLAVE,sexual harassement,21:19,2019-07-06,Under Investigation,C3883,-
NANGLOI,assualt murders,08:32,2019-06-29,Under Investigation,C3912,-
SUBHASH PLACE,sexual harassement,16:34,2019-08-11,Open,C1888,Missing information
ASHOK VIHAR,sexual harassement,18:24,2020-03-23,Closed,C6107,-
TILAK MARG,theft,22:33,2020-04-09,Open,C5310,-
ANANDVIHAR,theft,14:04,2019-10-13,Under Investigation,C3924,-
JAHANGIR PURI,murder,16:17,2020-05-23,Under Investigation,C8444,Missing information
INDERPURI,assualt murders,22:07,2019-10-11,Open,C9792,-
MALVIYA NAGAR,rape,02:56,2020-02-22,Closed,C4452,-
SUBHASH PLACE,murder,04:06,2019-12-23,Open,C3830,-
SUBZIMANDI,sexual harassement,02:30,2019-12-07,Under Investigation,C3833,-
TILAK MARG,murder,00:30,2019-09-07,Open,C9991,-
CONNAUGHT PLACE,assualt murders,04:41,2019-07-29,Open,C4236,-
NEW FRIENDS COLONY,sexual harassement,23:59,2020-04-16,Closed,C7662,-
DWARKA SEC-23,rape,21:18,2020-05-11,Closed,C2338,-
SARITA VIHAR,theft,01:37,2020-05-18,Under Investigation,C6122,-
ASHOK VIHAR,murder,03:46,2019-09-29,Under Investigation,C8357,-
PATEL NAGAR,murder,10:30,2020-02-21,Closed,C5036,-
NEW FRIENDS COLONY,rape,16:54,2019-07-05,Open,C6197,-
MANDAWALI,robbery,02:03,2019-12-30,Under Investigation,Unknown,Missing information
G.T.B. ENCLAVE,sexual harassement,06:41,2020-02-02,Open,C8408,-
BAWANA,robbery,00:57,2020-04-25,Under Investigation,C7295,-
KASHMERE GATE,murder,17:23,2020-05-26,Closed,C6893,-
SHAKARPUR,theft,01:13,2019-07-11,Under Investigation,C5684,-
KESHAV PURAM,murder,02:00,2019-10-09,Closed,C6904,-
GOVIND PURI,robbery,21:08,2020-03-08,Under Investigation,C1763,-
PANDAV NAGAR,theft,08:15,2019-08-28,Closed,C9938,-
SHAKARPUR,theft,19:15,2019-08-04,Under Investigation,C9598,-
SUNLIGHT COLONY,assualt murders,18:48,2020-03-06,Closed,C7502,Missing information
